11,1000001,"xyz+2x+2y+1=250000求：x,y,z","xyz+2x+2y+1=250000求：x,y,z",49:50.2
7,1000001,设全集为R，集合A={x|(x-1)(x+m)>0}，且大写CRA=[-1，-n]，则m+n=(？),设全集为R，集合A={x|(x-1)(x+m)>0}，且大写CRA=[-1，-n]，则m+n=(？),49:50.2
6,1000001,哥哥有43张生字卡片，比姐姐少18张，姐姐有生字卡片,哥哥有43张生字卡片，比姐姐少18张，姐姐有生字卡片,49:50.2
8,1000001,37+94=,37+94=,49:50.2
7,1000001,小明为玉树灾区的小朋友捐了55本故事书，46本连环画，一共是多少本书？,小明为玉树灾区的小朋友捐了55本故事书，46本连环画，一共是多少本书？,49:50.2
14,1000002,在第十一届全运会上，获得奖牌榜第二名的解放军代表队获得金牌49枚，银牌39枚，金银牌共获得多少枚？,在第十一届全运会上，获得奖牌榜第二名的解放军代表队获得金牌49枚，银牌39枚，金银牌共获得多少枚？,49:50.2
8,1000002,比最大的两位数多45的数是,比最大的两位数多45的数是,49:50.2
11,1000002,三年级一班有女生19名，男生24名，三年级一班共有学生（    ）名。,三年级一班有女生19名，男生24名，三年级一班共有学生（    ）名。,49:50.2
6,1000002,爸爸今年37岁，爷爷比爸爸大25岁，爷爷今年,爸爸今年37岁，爷爷比爸爸大25岁，爷爷今年,49:50.2
16,1000002,在为青海玉树灾区捐款中，弟弟捐了16元，爸爸捐了35元，一共捐了多少元？,在为青海玉树灾区捐款中，弟弟捐了16元，爸爸捐了35元，一共捐了多少元？,49:50.2
14,1000003,33与最大的两位数的和是（    ）。,33与最大的两位数的和是（    ）。,49:50.2
8,1000003,三年级一班有学生46人，三年级二班有学生39人，这两班一共有学生,三年级一班有学生46人，三年级二班有学生39人，这两班一共有学生,49:50.2
15,1000003,妹妹身高85厘米，比哥哥矮37厘米，哥哥身高（    ）厘米。,妹妹身高85厘米，比哥哥矮37厘米，哥哥身高（    ）厘米。,49:50.2
15,1000003,笔算加法，哪一位上的数相加满十，就要向______进______．,笔算加法，哪一位上的数相加满十，就要向______进______．,49:50.2
12,1000003,小林5分钟做40道题目，比小王每分钟少做2道．小王每分钟做几道？,小林5分钟做40道题目，比小王每分钟少做2道．小王每分钟做几道？,49:50.2
